WardName,OldCode,Wardcode,Pop2015,Aged0_15,Aged16_64,Aged65plus,Pct0_15,Pct16_64,Pct65plus,MeanAge13,MedAge13,AreaSqKM,PopDenKm13,PctBame11,PctNBnUK11,PctNoEng11,GenFtRt13,MaleLE0913,FemLE0913,PctYr1Obes,PctYr6Obes,RtAmbulanc,RtAmbAlco,RoadKilled,InEmp2011,EmpRt2011,NoJobs2013,EmpWkAge13,RtNINo1112,MedHouPr14,NPropSld13,MedHHIncom,NumHHSpace,PctDetach,PctSemi,PctTerrace,PctFlat,PctOwned11,PctSocRen11,PctPRent11,PctCTaxAB,PctCTaxCDE,PctCTaxFGH,IncapBen2014,InSupp2014,EmpSup2014,JSA2014,PctDepChild,PctHHNoEmp,PctLonePar,IDRankLond,ID50pctNat,AvgGCSE2013,UnauthAbs13,PctNoQl11,PctLev4Q11,ALevSt1213,ALevEn1213,CriRt1314,ViolRt1314,RobRt1314,Theft1314,CriDam1314,DrugRt1314,Arson14,PctOpSpace,CarPerHH11,PTAL14,PctBike11,Turnout12,Candidate,InnerOuter,x,y
Tower Hamlets - Weavers,00BGGM,E05000588,15050,2500,11600,950,16.4818381,77.16315824,6.355003652,32.7,30,0.8,17687.5,47.9,41.2,16.7,44.88372093,75.05648625,84.03860179,15.60846561,26.07361963,128.9817975,1.101823708,1,6693,66.99029126,4400,0.403669725,74.57627119,500000,226,32129,5696,0.7,1.2,11.2,86.9,24.3,43.4,30.3,31.75195451,66.64889837,1.599147122,1.019684341,2.083702784,5.630430927,8.106342911,34.36363636,6.962138884,62.98342541,19,100,338.8247253,0.816643357,20.6,43.9,652.7969697,213.9772727,140.9023928,24.84036208,6.385516806,74.52108624,8.841484808,13.61307978,0.568828214,15.40994634,0.332675399,5.495233652,12.05211726,39.77031051,Ken,Inner,533974.8792,182567.732
Tower Hamlets - Whitechapel,00BGGN,E05000589,17300,3000,13400,900,17.40211671,77.50853045,5.089352843,30.7,29,0.9,17888.9,60.2,48.8,24.8,56.59574468,74.67743868,79.65140068,11.41804788,28.64583333,153.4141672,1.032951141,11,7530,64.96980155,24300,1.928571429,115.3465347,490000,309,33950,6078,0.8,2,6.7,90.5,20.5,32.9,43.4,34.11466582,55.47988597,10.40544821,0.730263664,1.921746483,4.150972404,5.698310225,31.26984127,6.244609281,69.6,59,100,343.685,1.114039409,17.1,45,634.5680328,194.1016393,114.0075183,28.28618968,4.806803476,50.10168238,7.949713441,7.949713441,1.148691768,5.391173854,0.329825772,6.840616045,7.05602537,34.3373494,Ken,Inner,534551.992,181394.9046
Waltham Forest - Cann Hall,00BHFX,E05000590,14350,3200,10100,1050,22.21912267,70.45121696,7.329660367,32.3,30,0.9,15833.3,57,48.8,18.2,70.74626866,77.90558186,81.7315867,10.15490534,21.94513716,100.4767408,0.506249011,1,6265,63.79187455,1500,0.15,100,316000,139,25573,5094,5.1,9.3,48,37.4,39.2,28.3,30.7,37.64968541,62.28942561,0.060888979,1.092787602,2.185575204,4.371150407,7.029410384,23.23943662,7.497995188,46.24505929,95,100,329.377027,1.482279171,19.2,30.5,624.8911111,204.43,61.35486135,16.00561601,3.43980344,21.41102141,5.616005616,3.229203229,0.50563421,5.038025409,0.635926223,2.915787316,3.024574669,31.99949348,Ken,Outer,539572.3784,186171.9979
Waltham Forest - Cathall,00BHFY,E05000591,13300,2950,9350,1000,22.17711622,70.36535859,7.457525184,32.3,30,1.1,12000,61,50.1,20,68.82352941,80.26101975,82.37335246,11.67400881,23.58974359,117.2127365,0.701926216,1,5715,62.66447368,1500,0.161290323,127.8787879,332500,79,24435,4634,6,10.9,40.4,42.6,28.3,38.5,31.9,42.15792908,57.79856428,0.043506635,1.500053573,2.946533805,5.143040823,7.827705103,24.30769231,8.874172185,54.59662289,53,100,336.9809524,1.542208589,19.3,28.6,609.8414634,199.0634146,65.86052171,23.65198874,2.737850787,19.0889041,4.867290288,5.01939311,0.461467467,23.46699438,0.548565121,4.34953355,2.624762563,28.27210884,Ken,Outer,538770.0099,186076.1829
Waltham Forest - Chapel End,00BHFZ,E05000592,14600,3600,9750,1300,24.62885681,66.62789902,8.743244168,33.4,33,1.8,8055.6,48.5,36.9,14.1,79.38461538,82.05843609,84.64891258,10.80669711,23.58078603,105.7204421,0.314465409,2,6595,68.94208656,4100,0.424870466,61.34969325,350000,172,31134,5184,4.9,11.9,55,28.3,58.6,15.7,24,22.99900695,76.9612711,0.039721946,0.723888314,1.809720786,3.154084798,5.356945718,19.25925926,6.23766285,44.971537,200,100,337.1295302,0.947873684,18.7,29.3,682.9958333,204.903125,73.72126734,18.43031684,3.38234279,28.92248223,7.040795196,5.315110099,0.556057552,31.16829256,0.867350967,2.926598233,3.023952096,33.02503391,Ken,Outer,537798.2493,190589.037
Waltham Forest - Chingford Green,00BHGA,E05000593,10550,1850,6450,2300,17.31843575,60.93172995,21.7498343,42.3,43,3.7,2851.4,14.7,13.1,3,49.23076923,80.18575692,83.76653615,7.467532468,17.20430108,143.9861218,1.789473684,1,4570,73.41365462,3500,0.551181102,9.090909091,329995,158,41880,4570,6.3,38.6,21,34.2,69.1,15.4,13.9,13.49465882,70.63440157,15.87093961,1.020888959,1.884718078,3.533846395,3.223598386,18.63636364,3.760913365,41.77631579,308,83.33333333,346.710084,0.97400163,24.2,27.1,709.3853659,197.3817073,70.95427813,14.41851641,1.328021248,30.73420603,5.976095618,4.83779169,0.481881264,54.87504676,1.143496754,2.794992927,1.138040042,40.07594567,Boris,Outer,538871.1872,194901.0676
Waltham Forest - Endlebury,00BHGB,E05000594,11150,1900,7250,2000,17.0432132,64.95427649,18.00251031,40.2,41,2,5525,22.4,17.5,3.8,63.80952381,82.62539623,88.56772559,5.555555556,18.55670103,94.9337779,0.49215626,1,4871,70.39017341,1300,0.183098592,7.913669065,333000,157,41573,4272,5,51.3,17.1,26.5,74.3,14.7,9.6,6.029919448,83.63636364,10.33371692,1.043986637,1.879175947,3.827951002,3.585949932,18.57142857,4.59824603,44.40993789,327,71.42857143,351.3767123,1.112891986,23.5,24.7,733.6068627,208.2519608,56.54412429,13.18760726,1.535543311,17.07162858,3.613043086,3.884021317,0.18523664,18.49300594,1.292486371,2.350996726,1.187883587,37.71024735,Boris,Outer,537872.2236,193892.1179
Waltham Forest - Forest,00BHGC,E05000595,13250,2750,9200,1300,20.60688406,69.43689614,9.956219807,34.2,31,2,6550,58.7,45.7,18.4,75.48387097,79.03701215,83.7936224,9.761388286,22.80701754,181.5614745,0.376454483,2,5861,65.1511783,10500,1.147540984,96.91358025,397500,119,31156,4448,4.1,14.1,42.2,39.6,50.3,13.6,33.5,27.64319674,69.50418836,2.852614897,1.3136289,1.860974275,4.159824849,5.028532959,14.03225806,5.179558011,51.01351351,136,100,331.8146789,1.148035488,19.3,33.3,704.9428571,211.6,92.24527291,20.43940902,4.97588609,38.42915104,7.425553089,8.26762612,0.610547203,40.37829303,0.770257827,4.348486459,3.461603092,33.27460016,Ken,Outer,538897.6471,188348.5705
Waltham Forest - Grove Green,00BHGD,E05000596,15300,3300,10800,1150,21.69336384,70.70284407,7.603792089,32.9,32,0.9,16833.3,53.2,53,21.2,73.33333333,81.37038744,85.57741967,9.64360587,23.77850163,97.00503578,0.687775759,5,7587,70.34118302,1100,0.101851852,144.6236559,311000,185,30246,5332,4.4,7.8,39.8,47.8,45.6,9.1,44.1,51.93245779,48.04878049,0.018761726,0.74019245,1.387860844,2.636935603,4.632469521,13.76811594,4.214559387,42.47491639,184,100,345.547,1.312018906,15.7,34.8,690.7192308,215.1602564,61.5333774,17.05221414,2.379378718,18.77065433,6.807666887,6.543291474,0.265041081,4.310735699,0.636206897,4.247435047,3.097345133,32.03725262,Ken,Outer,538427.746,186858.1613
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,12200,2650,8050,1500,21.87551322,65.93036623,12.19412055,36.5,36,2.3,5195.7,33.1,21.8,5.9,60.76923077,79.79894953,87.03635101,7.829977629,18.43317972,85.93285168,0.467532468,1,5319,71.1001203,6400,0.820512821,20.4379562,279999,180,39795,4286,4.2,24.3,46.2,25.3,66.9,18.8,12.4,14.67044649,80.43940468,4.890148831,1.073232323,2.02020202,3.535353535,4.446283263,17.34375,5.355008367,44.8,244,100,339.7323171,0.950930997,20,28.9,707.9880952,202.9055556,62.22147482,15.891701,1.597578407,22.61834693,6.474396704,3.026990667,0,41.36851254,1.1197705,2.548120642,2.329847734,37.8968254,Boris,Outer,538949.2249,191195.9546
